SC_NO,행정동코드,행정동,SCHUL_NM,ADRES,TELNO,OLD_ZIP,latitude,longitude,geometry
4327,1174066000,성내제3동,유정유치원,서울특별시 강동구 성내3동 430-6,02-471-3151,134-033,37.52588600090756,127.13374999999606,POINT (127.1337499999961 37.52588600090756)
4326,1138052000,불광제1동,유정유치원,서울특별시 은평구 불광동 276-27번지,02-354-2411,122-040,37.612162000914424,126.93157000000022,POINT (126.9315700000002 37.61216200091442)
4328,1138060000,응암제3동,유진유치원,서울특별시 은평구 응암4동 297-6번지,02-308-5262,122-014,37.58687300091614,126.91904599999694,POINT (126.9190459999969 37.58687300091614)
3311,1132071000,방학제3동,유화유치원,서울특별시 도봉구 방학3동 271-4,02-956-5001,132-828,37.65945300090925,127.026933000001,POINT (127.026933000001 37.65945300090925)
3312,1135060000,공릉2동,육사유치원,서울특별시 노원구 공릉2동 51-1,02-972-0451,139-800,37.62042400091219,127.09069600000116,POINT (127.0906960000012 37.62042400091219)
2605,1165062000,방배3동,육영유치원,서울특별시 서초구 방배3동 1020-10,02-583-8893,137-063,37.479141000907305,127.00046800000318,POINT (127.0004680000032 37.4791410009073)
3087,1126062000,묵제1동,윤경유치원,서울특별시 중랑구 묵1동 13번지 신내4단지아파트내,02-3421-7184,131-141,37.61622400091531,127.08477799999855,POINT (127.0847779999986 37.61622400091531)
3313,1132051400,창제4동,윤정유치원,서울특별시 도봉구 창4동 33-3,02-997-6582,132-040,37.64884900091623,127.05255700000261,POINT (127.0525570000026 37.64884900091623)
3537,1121571000,화양동,윤진유치원,서울특별시 광진구 화양동 42-21,02-464-8174,143-130,37.54267100090977,127.06501500000034,POINT (127.0650150000003 37.54267100090977)
4553,1150061500,우장산동,윤희유치원,서울특별시 강서구 강서로 (화곡동) 216-23 .,02-2693-4813,157-010,37.545732000910554,126.83754099999781,POINT (126.8375409999978 37.54573200091055)
4330,1120056000,행당제1동,율화유치원,서울특별시 성동구 행당동 349,02-2296-2577,133-070,37.555179000914244,127.03611100000336,POINT (127.0361110000034 37.55517900091424)
4329,1130553500,미아동,율화유치원,서울특별시 강북구 미아3동 307-8,02-989-9762,142-812,37.6237460009154,127.02377400000367,POINT (127.0237740000037 37.6237460009154)
2983,1153075000,개봉제2동,은별유치원,서울특별시 구로구 개봉2동 339-18,02-2612-5983,152-090,37.49082300090965,126.8522900000017,POINT (126.8522900000017 37.49082300090965)
3933,1162054500,청림동,은비유치원,서울특별시 관악구 봉천3동 1717-2,02-882-0533,151-053,37.48911800091397,126.96004500000564,POINT (126.9600450000056 37.48911800091397)
4520,1174054000,명일제2동,은새유치원,서울특별시 강동구 고덕로62길 (명일동) 58,02-428-2256,134-825,37.55231500091105,127.15259399999682,POINT (127.1525939999968 37.55231500091105)
4332,1171063200,가락2동,은선유치원,서울특별시 송파구 가락2동 125-10,02-404-7423,138-807,37.49218600091443,127.1262919999988,POINT (127.1262919999988 37.49218600091443)
4334,1138059000,응암제2동,은성유치원,서울특별시 은평구 응암2동 408-2번지,02-359-6966,122-920,37.59388800091649,126.92152600000551,POINT (126.9215260000055 37.59388800091649)
4333,1126060000,중화제1동,은성유치원,서울특별시 중랑구 중화1동 450번지 한신아파트단지내,02-2208-6601,131-121,37.59703600091036,127.08172900000498,POINT (127.081729000005 37.59703600091036)
3450,1138058000,응암제1동,은솔유치원,서울특별시 은평구 응암1동 22-2번지,02-359-7018,122-011,37.5998660009153,126.93599200000534,POINT (126.9359920000053 37.5998660009153)
4335,1162062500,인헌동,은아유치원,서울특별시 관악구 봉천11동 1635-1,02-882-0018,151-061,37.47534300090807,126.96435099999603,POINT (126.964350999996 37.47534300090807)
4336,1129061000,보문동,은영유치원,서울특별시 성북구 보문동3가 168-2,02-926-9278,136-083,37.58460000090926,127.01661999999502,POINT (127.016619999995 37.58460000090926)
4337,1138057000,대조동,은정유치원,서울특별시 은평구 대조동 215-38번지,02-352-6858,122-030,37.614377000916335,126.92060799999781,POINT (126.9206079999978 37.61437700091633)
4339,1129081000,석관동,은하유치원,서울특별시 성북구 석관1동 250-1,02-962-7647,136-818,37.60949600091299,127.05867499999695,POINT (127.058674999997 37.60949600091299)
4338,1156055000,당산제1동,은하유치원,서울특별시 영등포구 당산동3가 79,02-2068-0109,150-043,37.524814000909174,126.89801699999879,POINT (126.8980169999988 37.52481400090917)
4340,1138052000,불광제1동,은혜유치원,서울특별시 은평구 불광2동 331-27번지,02-355-3913,122-861,37.617784000910966,126.92755900000243,POINT (126.9275590000024 37.61778400091097)
3771,1171057000,오금동,의명유치원,서울특별시 송파구 오금동 44,02-402-1930,138-130,37.50481400091375,127.12573699999679,POINT (127.1257369999968 37.50481400091375)
4341,1138052000,불광제1동,이레유치원,서울특별시 노원구 월계4동 320-9,02-979-8293,139-844,37.617784000910966,126.92755900000243,POINT (126.9275590000024 37.61778400091097)
4540,1126058000,상봉제1동,이루니유치원,서울특별시 중랑구 신내로7나길 (상봉동) 24,02-494-9094,131-856,37.60105100091558,127.09298199999854,POINT (127.0929819999985 37.60105100091558)
3451,1141058500,신촌동,이화여자대학교사범대학부속이화유치원,서울특별시 서대문구 대현동 이화여자대학교 11-1번지,02-362-6177,120-750,37.562611000908525,126.94733199999763,POINT (126.9473319999976 37.56261100090853)
4342,1168074000,일원2동,이화유치원,서울특별시 강남구 개포동 12,02-451-6688,135-240,37.49403000091284,127.07506400000456,POINT (127.0750640000046 37.49403000091284)
3801,1130564500,우이동,인수유치원,서울특별시 강북구 수유4동 558-32,02-993-9180,142-881,37.64534400091523,127.01085700000554,POINT (127.0108570000055 37.64534400091523)
4344,1121584000,자양제3동,인애유치원,서울특별시 광진구 자양3동 553-339,02-457-6109,143-862,37.53380400090747,127.0683730000038,POINT (127.0683730000038 37.53380400090747)
3452,1141065500,홍제제2동,인왕유치원,서울특별시 서대문구 홍제4동 105-88번지,02-738-1486,120-094,37.58544400091448,126.94945599999497,POINT (126.949455999995 37.58544400091448)
3703,1117057000,원효로제2동,일민유치원,서울특별시 용산구 산천동 193,02-704-0915,140-040,37.53487800091201,126.9504370000039,POINT (126.9504370000039 37.53487800091201)
4346,1114054000,회현동,일신유치원,서울특별시 중구 남창동 202,02-777-3993,100-060,37.5566620009154,126.97881199999583,POINT (126.9788119999958 37.5566620009154)
4345,1153078000,오류제2동,일신유치원,서울특별시 구로구 오류2동 150-10,02-2612-1432,152-102,37.491256000910745,126.84394899999856,POINT (126.8439489999986 37.49125600091075)
2606,1168067000,개포2동,일원유치원,서울특별시 강남구 일원동 611-1,02-3411-5060,135-230,37.49083300091138,127.07524000000261,POINT (127.0752400000026 37.49083300091138)
4348,1174064000,성내제1동,자람유치원,서울특별시 강동구 천호4동 304-11,02-475-1433,134-024,37.530120000914586,127.12385800000455,POINT (127.1238580000045 37.53012000091459)
4347,1123054500,제기동,자람유치원,서울특별시 동대문구 제기1동 122,02-3295-3467,130-863,37.58889400090892,127.03917599999775,POINT (127.0391759999978 37.58889400090892)
3538,1121583000,자양제2동,자양유치원,서울특별시 광진구 자양2동 662-5,02-446-4345,143-192,37.531113000909905,127.08373699999987,POINT (127.0837369999999 37.5311130009099)
3539,1121582000,자양제1동,자양하나유치원,서울특별시 광진구 자양동 225-85,02-456-1799,143-191,37.538777000909974,127.07856300000384,POINT (127.0785630000038 37.53877700090997)
4349,1132051400,창제4동,자연유치원,서울특별시 도봉구 창4동 807,02-907-1011,132-044,37.65968800091009,127.04810199999551,POINT (127.0481019999955 37.65968800091009)
3453,1138056000,구산동,자인유치원,서울특별시 은평구 구산동 24-99번지,02-384-0146,122-060,37.61330500090802,126.91072400000363,POINT (126.9107240000036 37.61330500090802)
3990,1171068000,잠실3동,잠실밀알유치원,서울특별시 송파구 잠실동 35-3,02-3431-2004,138-220,37.509278000911166,127.08929800000112,POINT (127.0892980000011 37.50927800091117)
4351,1171071000,잠실6동,장미유치원,서울특별시 송파구 신천동 7-5,02-424-0090,138-240,37.51788200090911,127.10081100000387,POINT (127.1008110000039 37.51788200090911)
4350,1150060400,가양제2동,장미유치원,서울특별시 강서구 가양2동 1475,02-2668-0262,157-200,37.56518100091564,126.85556400000368,POINT (126.8555640000037 37.56518100091564)
3800,1130566000,인수동,유안유치원,서울특별시 강북구 수유4동 561-17,02-904-4576,142-881,37.64467100091301,127.00905299999724,POINT (127.0090529999972 37.64467100091301)
3932,1150056000,화곡제3동,윤서유치원,서울특별시 강서구 화곡3동 화곡푸르지오아파트 1091번지,02-2605-2277,157-773,37.54433000090808,126.83147500000217,POINT (126.8314750000022 37.54433000090808)
4331,1174054000,명일제2동,은새유치원,서울특별시 강동구 명일동 42,02-428-2256,134-070,37.5510120009132,127.15180499999678,POINT (127.1518049999968 37.5510120009132)
3454,1144061000,염리동,정님유치원,서울특별시 마포구 염리동 45-5번지,02-713-8053,121-090,37.55012700090825,126.94777900000474,POINT (126.9477790000047 37.55012700090825)
3540,1121584700,자양제4동,정신유치원,서울특별시 광진구 노유1동 843-11,02-463-7050,143-842,37.53718900091318,127.06455200000366,POINT (127.0645520000037 37.53718900091318)
4562,1126065500,망우본동,정암유치원,서울특별시 중랑구 용마산로118길 (망우동) 55,02-2094-8401,131-800,37.60119600091088,127.1036479999958,POINT (127.1036479999958 37.60119600091088)
3704,1117056000,원효로제1동,정우유치원,서울특별시 용산구 원효로2가 272-2,02-712-2211,140-112,37.536111000911,126.96249299999725,POINT (126.9624929999973 37.536111000911)
4352,1171060000,석촌동,정원유치원,서울특별시 송파구 석촌동 60-4,02-416-4002,138-190,37.50317500090749,127.10062500000345,POINT (127.1006250000034 37.50317500090749)
2984,1156072000,대림제3동,정은유치원,서울특별시 영등포구 대림3동 720-5,02-848-8463,150-073,37.495880000907185,126.89881599999931,POINT (126.8988159999993 37.49588000090719)
3314,1132068100,쌍문제4동,정의유치원,서울특별시 도봉구 쌍문4동 150-1,02-992-5108,132-869,37.65296900091061,127.03178900000492,POINT (127.0317890000049 37.65296900091061)
3184,1159068000,신대방제2동,정현유치원,서울특별시 동작구 신대방2동 349-42,02-821-6321,156-012,37.4978680009106,126.92689000000166,POINT (126.9268900000017 37.4978680009106)
2985,1153074000,개봉제1동,정훈유치원,서울특별시 구로구 개봉동 476,02-2682-8111,152-099,37.49525600091023,126.862523999997,POINT (126.862523999997 37.49525600091023)
3089,1123074000,이문제1동,젬마유치원,서울특별시 동대문구 이문2동 321-31번지,02-957-8166,130-082,37.59291300091467,127.05940400000551,POINT (127.0594040000055 37.59291300091467)
4353,1141070000,남가좌제2동,조은유치원,서울특별시 서대문구 남가좌2동 삼성아파트 단지내,02-309-4415,120-762,37.57767000091575,126.91569199999763,POINT (126.9156919999976 37.57767000091575)
2986,1154567000,시흥제1동,조형유치원,서울특별시 금천구 시흥본동 904-20,02-803-5199,153-039,37.44889800091321,126.90351699999837,POINT (126.9035169999984 37.44889800091321)
3778,1129061000,보문동,종아유치원,서울특별시 성북구 보문동6가 82,02-922-5022,136-086,37.58073700091451,127.01911599999626,POINT (127.0191159999963 37.58073700091451)
3185,1162057500,행운동,종인유치원,서울특별시 관악구 봉천6동 1690-17,02-878-1332,151-056,37.47906500091467,126.96347400000126,POINT (126.9634740000013 37.47906500091467)
3803,1129070500,종암동,좋은나라유치원,서울특별시 성북구 종암2동 SK아파트 104-1,02-911-5777,136-781,37.60143400091231,127.03773500000024,POINT (127.0377350000002 37.60143400091231)
3824,1174064000,성내제1동,준현유치원,서울특별시 강동구 성내1동 590,02-477-0286,134-031,37.531262000908896,127.12597200000408,POINT (127.1259720000041 37.5312620009089)
2987,1153077000,오류제1동,준희유치원,서울특별시 구로구 오류1동 23-42,02-2614-4845,152-101,37.496002000911346,126.84280199999782,POINT (126.8428019999978 37.49600200091135)
3315,1132068000,쌍문제3동,중린그림유치원,서울특별시 도봉구 쌍문3동 123-74,02-992-4140,132-866,37.6470500009164,127.03081199999656,POINT (127.0308119999966 37.6470500009164)
3186,1159060500,흑석동,중앙대부속유치원,서울특별시 동작구 흑석동 211-32,02-815-0146,156-070,37.50655000091485,126.95560699999459,POINT (126.9556069999946 37.50655000091485)
4354,1138052000,불광제1동,즐거운유치원,서울특별시 은평구 불광1동 221-57번지,02-357-7006,122-855,37.617230000916635,126.93207500000395,POINT (126.9320750000039 37.61723000091663)
4355,1156070000,대림제1동,지성유치원,서울특별시 영등포구 대림1동 894-15,02-842-1245,150-071,37.495628000914,126.90468899999922,POINT (126.9046889999992 37.495628000914)
3316,1132052100,도봉제1동,지현유치원,서울특별시 도봉구 도봉1동 558,02-954-2050,132-812,37.6863070009126,127.04394099999483,POINT (127.0439409999948 37.6863070009126)
4357,1126058000,상봉제1동,진달래유치원,서울특별시 중랑구 상봉1동 190-86번지,02-434-7993,131-862,37.598679000913975,127.08682799999673,POINT (127.0868279999967 37.59867900091398)
2846,1150060400,가양제2동,진일유치원,서울특별시 강서구 가양2동 1474,02-2659-4747,157-751,37.566383000915465,126.85400700000167,POINT (126.8540070000017 37.56638300091547)
3455,1138059000,응암제2동,착한유치원,서울특별시 은평구 응암2동 612-21번지,02-303-6555,122-925,37.59071100091225,126.9229760000039,POINT (126.9229760000039 37.59071100091225)
4359,1132052100,도봉제1동,참사랑유치원,서울특별시 도봉구 도봉1동 601-37,02-955-4587,132-011,37.67499800091353,127.04374600000143,POINT (127.0437460000014 37.67499800091353)
4362,1129059000,돈암제2동,천사유치원,서울특별시 성북구 돈암2동 606,02-925-2004,136-062,37.597280000910494,127.01048499999946,POINT (127.0104849999995 37.59728000091049)
4361,1132068100,쌍문제4동,천사유치원,서울특별시 도봉구 쌍문4동 199-1,02-904-8440,132-034,37.65895700090928,127.03354700000152,POINT (127.0335470000015 37.65895700090928)
4360,1165052000,서초2동,천사유치원,서울특별시 서초구 서초2동 1356-3,02-3474-6437,137-072,37.48716500090717,127.02911600000112,POINT (127.0291160000011 37.48716500090717)
4388,1129065000,정릉제4동,한가람유치원,서울특별시 성북구 정릉4동 236,02-942-0042,136-848,37.617305000915614,127.00881500000436,POINT (127.0088150000044 37.61730500091561)
4387,1171051000,풍납1동,한가람유치원,서울특별시 송파구 풍납동 507,02-486-1210,138-040,37.53660500091561,127.11504699999571,POINT (127.1150469999957 37.53660500091561)
4386,1117063000,이촌제1동,한가람유치원,서울특별시 용산구 이촌동 301-54,02-796-8865,140-030,37.51950500091592,126.98118499999808,POINT (126.9811849999981 37.51950500091592)
2990,1156056000,당산제2동,한강유치원,서울특별시 영등포구 당산동4가 1-5,02-2676-8800,150-805,37.527664000915316,126.90221799999588,POINT (126.9022179999959 37.52766400091532)
3322,1132052200,도봉제2동,한국영재유치원,서울특별시 도봉구 도봉동 79-8,02-956-2380,132-801,37.68373900091382,127.0494720000052,POINT (127.0494720000052 37.68373900091382)
3542,1121576000,중곡제3동,한국중앙유치원,서울특별시 광진구 중곡3동 169-8,02-467-5291,143-900,37.56861500091349,127.0849759999974,POINT (127.0849759999974 37.56861500091349)
4389,1150064100,방화제3동,한나유치원,서울특별시 강서구 방화3동 814,02-2662-6246,157-223,37.57720600090952,126.81050400000161,POINT (126.8105040000016 37.57720600090952)
4390,1129076000,장위제1동,한마음유치원,서울특별시 성북구 장위1동 219-48,02-942-5353,136-834,37.61612100091377,127.04114700000416,POINT (127.0411470000042 37.61612100091377)
4392,1132051200,창제2동,한별유치원,서울특별시 도봉구 창2동 804,02-907-4782,132-042,37.642339000911,127.03752400000299,POINT (127.037524000003 37.642339000911)
4391,1162076500,미성동,한별유치원,서울특별시 관악구 신림11동 1478-31,02-855-6659,151-021,37.4784000009135,126.91343100000111,POINT (126.9134310000011 37.4784000009135)
4393,1132051100,창제1동,한사랑유치원,서울특별시 도봉구 창1동 45,02-907-8224,132-902,37.64913000091633,127.0483160000019,POINT (127.0483160000019 37.64913000091633)
4394,1121574000,중곡제1동,한샘유치원,서울특별시 광진구 중곡동 164-1,02-468-1213,143-221,37.56269200091216,127.08222999999995,POINT (127.08223 37.56269200091216)
2849,1147055000,목5동,한서유치원,서울특별시 양천구 목6동 911,02-2646-2561,158-056,37.53457300091262,126.88474900000539,POINT (126.8847490000054 37.53457300091262)
4396,1174068500,길동,한성유치원,서울특별시 강동구 길2동 91-12,02-483-4560,134-809,37.54120000090879,127.14688099999793,POINT (127.1468809999979 37.54120000090879)
4366,1171057000,오금동,초록나라유치원,서울특별시 송파구 오금동 80-12,02-402-1997,138-858,37.505542000912804,127.13279800000005,POINT (127.1327980000001 37.5055420009128)
3090,1126069000,신내2동,태화유치원,서울특별시 중랑구 신내2동 661번지,02-3421-1141,131-130,37.6074290009105,127.09400299999871,POINT (127.0940029999987 37.6074290009105)
3986,1129066000,길음제1동,푸른샘유치원,서울특별시 성북구 길음동 1280-7,02-915-9300,136-110,37.60835100091245,127.01881000000282,POINT (127.0188100000028 37.60835100091245)
4379,1138063200,신사제2동,피노키오유치원,서울특별시 은평구 신사동 140-1번지,02-373-1253,122-080,37.58924000091383,126.9080290000023,POINT (126.9080290000023 37.58924000091383)
3935,1159063000,사당제2동,하랑유치원,서울특별시 동작구 사당2동 127번지,02-596-8425,156-815,37.4883460009123,126.97897299999886,POINT (126.9789729999989 37.4883460009123)
4395,1135061100,하계1동,한성유치원,서울특별시 노원구 하계동 256-5,02-974-8872,139-230,37.64019900091584,127.07526099999707,POINT (127.0752609999971 37.64019900091584)
4569,1165058000,반포3동,한신유치원,서울특별시 서초구 잠원로3길 (잠원동) 31,02-593-3100,137-908,37.509197000907825,127.00435399999621,POINT (127.0043539999962 37.50919700090783)
4561,1154561000,독산제1동,한신유치원,서울특별시 금천구 한내로 (독산동) 62 .,02-898-3031,153-833,37.45544400091226,126.88949600000531,POINT (126.8894960000053 37.45544400091226)
2991,1156062000,양평제2동,한신혜원유치원,서울특별시 영등포구 양평동5가 76,02-2634-9167,150-105,37.54010300090989,126.89207800000435,POINT (126.8920780000043 37.54010300090989)
4400,1130553500,미아동,한아름유치원,서울특별시 강북구 미아3동 217-9,02-989-6582,142-810,37.63046300091707,127.0232669999985,POINT (127.0232669999985 37.63046300091707)
4399,1111065000,혜화동,한아름유치원,서울특별시 종로구 혜화동 5-55,02-747-2449,110-530,37.59029100091673,127.00120199999479,POINT (127.0012019999948 37.59029100091673)
4402,1135058000,월계3동,한양유치원,서울특별시 노원구 월계3동 그랑빌아파트 18,02-973-4142,139-956,37.61920700090809,127.06862200000496,POINT (127.068622000005 37.61920700090809)
4401,1123061000,답십리제2동,한양유치원,서울특별시 동대문구 답십리2동 41번지,02-2249-6001,130-032,37.57171100091607,127.0604639999977,POINT (127.0604639999977 37.57171100091607)
3458,1141062000,홍제제1동,한양제일유치원,서울특별시 서대문구 홍제2동 82번지 한양아파트내,02-737-5182,120-092,37.582992000907886,126.94722600000465,POINT (126.9472260000046 37.58299200090789)
2992,1156053500,영등포동,한영유치원,서울특별시 영등포구 영등포동8가 70,02-2677-5422,150-038,37.52846200090774,126.90472899999436,POINT (126.9047289999944 37.52846200090774)
3819,1174052000,상일동,한영중고등학교병설한영유치원,서울특별시 강동구 상일동 166,02-426-2098,134-837,37.54869200091119,127.15744399999893,POINT (127.1574439999989 37.54869200091119)
4405,1174059000,암사제3동,한울유치원,서울특별시 강동구 암사동 442-1,02-441-3939,134-050,37.5556230009096,127.13159499999608,POINT (127.1315949999961 37.5556230009096)
4404,1135066500,상계3.4동,한울유치원,서울특별시 노원구 상계3동 107,02-935-3360,139-812,37.66914800091472,127.08085299999776,POINT (127.0808529999978 37.66914800091472)
4407,1114065000,신당제5동,한일유치원,서울특별시 중구 신당5동 67-87,02-2235-0016,100-818,37.56276000091222,127.02003100000525,POINT (127.0200310000052 37.56276000091222)
4406,1121584000,자양제3동,한일유치원,서울특별시 광진구 자양3동 516-3,02-454-0002,143-861,37.53494800090863,127.07175300000011,POINT (127.0717530000001 37.53494800090863)
3970,1153080000,항동,해길유치원,서울특별시 구로구 항동 1-3외 1필지,02-2625-0779,152-140,37.48733400091101,126.82361100000553,POINT (126.8236110000055 37.48733400091101)
2850,1150060500,가양제3동,해리유치원,서울특별시 강서구 가양3동 1470,02-2659-3296,157-200,37.559384000914434,126.86265900000056,POINT (126.8626590000006 37.55938400091443)
2851,1147055000,목5동,해림유치원,서울특별시 양천구 목6동 929,02-2646-9704,158-056,37.541454000914285,126.88153400000276,POINT (126.8815340000028 37.54145400091429)
3936,1162060500,은천동,해슬아유치원,서울특별시 관악구 봉천9동 관악벽산블루밍아파트 1718,02-878-1367,151-778,37.48882500090769,126.94429699999607,POINT (126.9442969999961 37.48882500090769)
4408,1129065000,정릉제4동,햇님유치원,서울특별시 성북구 정릉4동 772-4,02-914-6057,136-847,37.616222000909765,127.00545400000512,POINT (127.0054540000051 37.61622200090977)
4410,1138063100,신사제1동,햇살유치원,서울특별시 은평구 신사동 28-11,02-302-7123,122-080,37.59620000091277,126.91229800000465,POINT (126.9122980000047 37.59620000091277)
4409,1132066000,쌍문제1동,햇살유치원,서울특별시 도봉구 쌍문1동 358,02-904-6248,132-031,37.649158000913495,127.02520900000101,POINT (127.025209000001 37.64915800091349)
3983,1159056000,상도제4동,행복유치원,서울특별시 동작구 상도동 산 65-184,02-3280-1188,156-030,37.49561800090808,126.94112600000403,POINT (126.941126000004 37.49561800090808)
4555,1159051000,노량진제1동,행복한숲유치원,서울특별시 동작구 만양로 (상도동) 26,02-813-6148,156-831,37.50742300091027,126.94939699999473,POINT (126.9493969999947 37.50742300091027)
4411,1132068100,쌍문제4동,행복한유치원,서울특별시 도봉구 쌍문4동 54,02-900-8001,132-034,37.658469000913094,127.03108300000554,POINT (127.0310830000055 37.65846900091309)
3459,1141065500,홍제제2동,현대경복유치원,서울특별시 서대문구 홍제4동 105번지 인왕산 현대아파트단지,02-396-4271,120-094,37.586319000916575,126.95153800000487,POINT (126.9515380000049 37.58631900091657)
4414,1171052000,풍납2동,현대유치원,서울특별시 송파구 풍납2동 현대아파트 413-1,02-470-2008,138-785,37.52928200090935,127.11905899999853,POINT (127.1190589999985 37.52928200090935)
4413,1132066000,쌍문제1동,현대유치원,서울특별시 도봉구 쌍문1동 505-18,02-997-6715,132-031,37.65411900091404,127.01394700000287,POINT (127.0139470000029 37.65411900091404)
4412,1162054500,청림동,현대유치원,서울특별시 관악구 봉천3동 100,02-884-3809,151-755,37.49195100091315,126.96045799999506,POINT (126.9604579999951 37.49195100091315)
3460,1141062000,홍제제1동,현대홍익유치원,서울특별시 서대문구 홍제동 456 성원아파트상가전관,02-720-3004,120-090,37.583583000909066,126.94283600000291,POINT (126.9428360000029 37.58358300090907)
3543,1121585000,구의제1동,현정유치원,서울특별시 광진구 구의1동 230-12,02-446-9202,143-190,37.54448800091308,127.0889039999985,POINT (127.0889039999985 37.54448800091308)
3821,1171063200,가락2동,혜림유치원,서울특별시 송파구 가락2동 186-8,02-400-5308,138-812,37.49434200090891,127.13519999999853,POINT (127.1351999999985 37.49434200090891)
4415,1153077000,오류제1동,혜원유치원,서울특별시 구로구 오류1동 18-8,02-2612-7735,152-101,37.49953700090743,126.84218199999529,POINT (126.8421819999953 37.49953700090743)
4416,1111065000,혜화동,혜화유치원,서울특별시 종로구 혜화동 161-4,02-743-7021,110-530,37.586829000909255,127.00308299999872,POINT (127.0030829999987 37.58682900090925)
3092,1123070500,청량리동,홍릉유치원,서울특별시 동대문구 청량리2동 205-596번지,02-965-4376,130-012,37.59067100091652,127.0416780000031,POINT (127.0416780000031 37.59067100091652)
2852,1150061100,발산제1동,홍신유치원,서울특별시 강서구 내발산1동 714-3,02-2665-2199,157-280,37.54812400090799,126.83247899999469,POINT (126.8324789999947 37.54812400090799)
4563,1171061000,삼전동,홍익가족유치원,서울특별시 송파구 삼학사로19길 (삼전동) 20 .,02-414-6943,138-837,37.5061230009108,127.09493500000113,POINT (127.0949350000011 37.5061230009108)
3863,1144071000,연남동,홍익대학교사범대학부속유치원,서울특별시 마포구 연남동 369-1번지,02-3140-1107,121-866,37.5623520009158,126.91860800000197,POINT (126.918608000002 37.5623520009158)
4419,1144070000,망원제2동,홍익유치원,서울특별시 마포구 망원2동 437-18번지,02-334-6029,121-824,37.55924100091201,126.90080400000183,POINT (126.9008040000018 37.55924100091201)
3461,1141064000,홍제제3동,홍제성당유치원,서울특별시 서대문구 홍제3동 301-6번지,02-396-7704,120-093,37.58991600091194,126.94370900000364,POINT (126.9437090000036 37.58991600091194)
3802,1130566000,인수동,화계유치원,서울특별시 강북구 수유5동 118-1,02-902-8905,142-870,37.63456200091158,127.01883999999542,POINT (127.0188399999954 37.63456200091158)
2853,1150054000,화곡제1동,화곡동유치원,서울특별시 강서구 화곡1동 346-46,02-2602-8109,157-011,37.531983000911225,126.84402200000433,POINT (126.8440220000043 37.53198300091123)
2854,1150059000,화곡본동,화곡유치원,서울특별시 강서구 화곡본동 24-268,02-2697-3104,157-019,37.544010000910944,126.84657499999463,POINT (126.8465749999946 37.54401000091094)
4420,1174062000,천호제3동,화랑유치원,서울특별시 강동구 천호3동 56-34,02-472-1777,134-023,37.54281900091244,127.13780900000208,POINT (127.1378090000021 37.54281900091244)
4421,1138065000,수색동,효림유치원,서울특별시 은평구 수색동 산1번지 대림아파트 한숲타운내,02-308-5176,122-872,37.5865910009101,126.90020999999741,POINT (126.9002099999974 37.5865910009101)
4422,1147052000,목2동,효성유치원,서울특별시 양천구 목2동 42-80,02-2649-7997,158-800,37.54322100090901,126.87031700000415,POINT (126.8703170000041 37.54322100090901)
4423,1135058000,월계3동,효자유치원,서울특별시 노원구 월계3동 13,02-977-8333,139-840,37.62266700091641,127.0664500000036,POINT (127.0664500000036 37.62266700091641)
3323,1135061900,중계본동,효천유치원,서울특별시 노원구 중계본동 366,02-930-8891,139-861,37.65180100090969,127.07944599999573,POINT (127.0794459999957 37.65180100090969)
4424,1129058000,돈암제1동,희망찬유치원,서울특별시 성북구 돈암1동 삼성아파트 15-3,02-926-6888,136-755,37.5993000009112,127.02366299999872,POINT (127.0236629999987 37.5993000009112)
3806,1120055000,사근동,한양여자대학부속유치원,서울특별시 성동구 행당1동 한양여자대학 17,02-2290-2100,133-793,37.55839500091614,127.04936899999535,POINT (127.0493689999954 37.55839500091614)
4403,1120069000,성수2가제3동,한우리유치원,서울특별시 성동구 성수2가3동 301-87,02-462-9400,133-123,37.54381900091434,127.05087799999768,POINT (127.0508779999977 37.54381900091434)
