"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),응답자수 (명),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%),방과후 희망 활동 (%)
"특성별(1)",특성별(2),소계,집에서 쉬기_스마트폰 사용,집에서 쉬기_TV시청,집에서 쉬기_컴퓨터게임,집에서 숙제,친구,방과후 학교,학원 과외,방과후 돌봄,신체활동 운동,아르바이트,기타,집에서 쉬기_스마트폰 사용,집에서 쉬기_TV시청,집에서 쉬기_컴퓨터게임,집에서 숙제,친구,방과후 학교,학원 과외,방과후 돌봄,신체활동 운동,아르바이트,기타
"전체",소계,2793,34.6,28.9,15.8,31.5,15.4,11.2,53.7,3.4,4.2,0.1,1.3,18.1,16,8.1,44,21.4,16,50.2,5.5,19.4,0.3,1
"아동성별",남자,1448,35.5,28.9,20.3,28.6,15.5,10.8,52,3.4,4.5,0.2,0.5,18.4,15.7,10.1,42.6,20.1,17.3,50.5,5.2,18.8,0.4,0.9
"아동성별",여자,1345,33.6,28.8,11,34.6,15.3,11.6,55.6,3.5,3.9,0,2,17.7,16.2,5.9,45.5,22.9,14.6,49.9,5.8,20,0.3,1.1
"아동연령별",6-8세,579,21.8,44.4,11.9,29.4,26.4,9.3,42,4.3,8,0.3,2,8.4,18.5,5.7,46,34.9,11.3,38.2,8.1,26.5,0.6,1.9
"아동연령별",9-11세,743,27.4,28.8,11.9,35.7,14.9,12.6,59.8,4.5,3.7,0,0.8,15.3,15.5,8.4,45.7,22.6,14.8,52.5,6.8,17.3,0.2,1
"아동연령별",12-17세,1472,43.2,22.8,19.4,30.2,11.3,11.2,55.2,2.5,3,0.1,1.2,23.3,15.2,8.8,42.4,15.5,18.4,53.8,3.9,17.6,0.3,0.7
"표본별",일반,2641,33.9,28.4,15.5,31.6,15.2,11,56,2.7,4.2,0.1,1.3,17.8,15.6,7.9,44.3,21.5,15.6,51.7,4.7,19.7,0.3,1
"표본별",수급,152,45.7,37.1,21.3,29.1,18.2,13.3,13.5,15.9,4.2,0.5,1.1,22.8,22,11.7,40.1,19.1,23.1,25.4,19.8,14.3,1,0.7
"소득계층별",중위소득 50% 미만,266,49.8,36,13.3,27,13.7,11.8,36.7,5.9,2.3,0.2,3.5,24.1,27,7.4,38.8,16.2,17,43.7,7.8,13.5,0.3,4.2
"소득계층별",중위소득 50~100% 미만,940,32.7,31.7,17.1,34,17,11.1,47.4,4.4,3.4,0,1,20.6,17.7,7.9,43.7,23.5,15.1,46.1,6.3,18.3,0.3,0.3
"소득계층별",중위소득 100~150% 미만,1145,30.5,27.5,14.8,32.3,15.5,11.7,59.8,2.4,4.6,0.2,0.7,13.8,14.1,7.5,45.4,22,16.7,54.2,4.6,20.7,0.3,0.8
"소득계층별",중위소득 150% 이상,409,37.7,23.8,18.4,25.9,12.3,9.5,62.2,2.5,6.3,0,1.3,21.7,10.9,10.8,46,15.8,14.7,52.3,5,21.5,0.5,0.6
"소득계층별",무응답,33,67.8,0,3.5,36.7,14.7,11.4,55.4,0,3.5,0,7,0,5.3,3.1,25.2,56.1,22.1,59.1,0,22.2,0,7
"지역별",대도시,1196,36,27.7,17.7,29.3,14.4,9.8,57.7,3.9,3,0.2,0.2,21.5,17.7,8.7,39.6,18,14.8,56,5.9,16.9,0.4,0.5
"지역별",중소도시,1425,32.4,28.3,13.6,34,16,12,53.2,3.2,5.3,0,2.2,14.1,13,6.8,47.8,25,16.5,47.2,5.4,22.4,0.3,1.4
"지역별",농어촌,172,42.6,41.7,21.5,25.7,17.6,14.1,30.2,2.4,3.9,0,0.4,26.9,28.1,13.8,44,15.5,19.5,35.2,4.3,11.2,0.3,1.3
"가구유형별",양부모,2596,33.6,28.2,15.6,31.7,15.4,11.1,56,2.8,4.3,0.1,1.3,17.4,15.5,8,44.1,21.7,15.7,51.7,4.8,19.7,0.2,1.1
"가구유형별",한부모조손,197,48,37.5,19.3,28.6,15.4,12.1,23.2,11.1,3.4,0.2,1.2,26.8,21.8,9.3,42.7,17.4,19.6,31,14.8,14.6,1.6,0.3
"맞벌이여부별",외벌이,1361,30.3,31.3,14.8,33.6,17.2,10.6,53.4,3.8,3.7,0.2,1.2,16.8,15.7,6.2,44,24.5,14.1,49.1,6.3,21.8,0.5,1.1
"맞벌이여부별",맞벌이,1378,38.8,26.1,16.8,29.2,13.4,11.4,55.6,2.8,4.5,0,1.3,19.3,15.9,9.9,43.7,18.5,17.6,52.3,4.7,16.9,0.2,0.9
"맞벌이여부별",기타,55,34.3,38.9,17.8,36.1,21.4,18.6,14.6,8.7,8.8,0.3,0.5,19.9,24.1,10.2,51.6,16.4,21.6,27.6,6.8,20.9,0.5,0.3
