"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),사례수 (명),2명 (%),3명 (%),4명 (%),5명 (%),6명 이상 (%)
"전체",소계,8394,2.2,15.7,54.2,21.6,6.3
"성별",남자,4237,2.4,15.5,54.5,21.7,5.9
"성별",여자,4157,2.0,15.9,53.9,21.4,6.8
"교급별",초등1년~초등3년,2798,1.9,15.0,54.6,21.8,6.5
"교급별",초등4년~초등6년,2906,2.1,15.9,53.5,21.9,6.6
"교급별",중등1년~중등3년,2690,2.7,16.1,54.5,20.9,5.8
"지역별",서울,1301,1.9,18.0,55.0,18.8,6.4
"지역별",인천/경기,2438,2.3,15.1,51.9,22.9,7.8
"지역별",대전/충청/세종/강원,1314,3.1,15.1,52.7,22.4,6.6
"지역별",광주/전라/제주,1226,2.8,14.8,53.3,23.5,5.7
"지역별",부산/울산/경남,1216,1.0,16.3,58.6,20.0,4.1
"지역별",대구/경북,899,2.2,14.9,57.1,20.4,5.5
"지역형태별",동부,6665,2.2,15.6,54.4,21.2,6.6
"지역형태별",읍면부,1729,2.5,15.8,54.2,21.6,6.3
